Facies;Formation;Well Name;Depth;GR;ILD_log10;DeltaPHI;PHIND;PE;NM_M;RELPOS
6;B5 LM;NOLAN;3011.5;76.188;0.529;-0.093;10.591;4.699;2;0.111
6;B5 LM;NOLAN;3012;88.25;0.52;-0.871;9.123;4.574;2;0.083
8;B5 LM;NOLAN;3012.5;102.75;0.512;0.179;8.805;4.602;2;0.056
8;B5 LM;NOLAN;3013;107.563;0.517;3.99;11.586;4.754;2;0.028
3;C SH;NOLAN;3013.5;110.938;0.517;8.549;14.888;3.9;1;1
3;C SH;NOLAN;3014;104;0.501;9.149;16.974;3.231;1;0.974
3;C SH;NOLAN;3014.5;98.563;0.474;5.552;18.862;2.744;1;0.947
3;C SH;NOLAN;3015;91.125;0.447;3.698;17.347;2.805;1;0.921
3;C SH;NOLAN;3015.5;93.125;0.425;3.835;16.233;3.076;1;0.895
3;C SH;NOLAN;3016;101.938;0.422;6.177;15.259;3.545;1;0.868
3;C SH;NOLAN;3016.5;107.313;0.426;6.533;16.416;3.492;1;0.842
3;C SH;NOLAN;3017;112.563;0.424;7.422;17.188;3.381;1;0.816
3;C SH;NOLAN;3017.5;110.375;0.427;6.891;16.546;3.289;1;0.789
3;C SH;NOLAN;3018;113.5;0.434;8.294;16.803;3.184;1;0.763
3;C SH;NOLAN;3018.5;107.938;0.438;7.729;18.296;3.16;1;0.737
3;C SH;NOLAN;3019;103.5;0.448;7.826;19.762;3.15;1;0.711
3;C SH;NOLAN;3019.5;100.25;0.467;5.943;19.253;3.211;1;0.684
3;C SH;NOLAN;3020;94.5;0.483;5.733;18.242;3.299;1;0.658
3;C SH;NOLAN;3020.5;94;0.502;5.628;16.54;3.625;1;0.632
2;C SH;NOLAN;3021;91.188;0.526;6.157;16.841;3.656;1;0.605
2;C SH;NOLAN;3021.5;89.938;0.545;6.614;16.725;3.83;1;0.579
3;C SH;NOLAN;3022;86.5;0.562;7.713;17.14;3.617;1;0.553
3;C SH;NOLAN;3022.5;77.938;0.576;7.04;15.665;3.609;1;0.526
2;C SH;NOLAN;3023;76.813;0.582;6.162;14.443;3.682;1;0.5
2;C SH;NOLAN;3023.5;77.688;0.585;4.795;13.076;3.836;1;0.474
2;C SH;NOLAN;3024;77.563;0.593;4.761;13.159;4.262;1;0.447
2;C SH;NOLAN;3024.5;78.563;0.595;4.461;12.97;4.102;1;0.421
2;C SH;NOLAN;3025;76;0.593;4.411;13.265;3.957;1;0.395
2;C SH;NOLAN;3025.5;80.688;0.591;4.974;12.799;3.75;1;0.368
2;C SH;NOLAN;3026;82.125;0.585;6.129;13.158;3.871;1;0.342
2;C SH;NOLAN;3026.5;84.5;0.57;6.155;13.523;3.973;1;0.316
2;C SH;NOLAN;3027;86.688;0.557;5.999;13.484;3.674;1;0.289
2;C SH;NOLAN;3027.5;87.25;0.546;5.884;13.598;3.596;1;0.263
2;C SH;NOLAN;3028;87.375;0.531;6.392;13.188;3.467;1;0.237
2;C SH;NOLAN;3028.5;87;0.518;5.941;13.883;3.676;1;0.211
2;C SH;NOLAN;3029;97.375;0.519;7.357;15.299;3.641;1;0.184
2;C SH;NOLAN;3029.5;100.563;0.515;6.842;17.865;3.365;1;0.158
2;C SH;NOLAN;3030;102.625;0.516;6.555;18.152;3.242;1;0.132
2;C SH;NOLAN;3030.5;93.75;0.53;3.788;17.209;3.176;1;0.105
3;C SH;NOLAN;3031;94.938;0.562;6.043;16.955;3.318;1;0.079
8;C LM;NOLAN;3031.5;81.125;0.597;5.83;19.023;3.131;1;0.053
8;C LM;NOLAN;3032;58.188;0.643;6.517;15.26;3.334;1;0.026
8;C LM;NOLAN;3032.5;32.969;0.69;2.971;11.14;3.518;2;1
8;C LM;NOLAN;3033;20.969;0.734;2.578;6.748;4.121;2;0.991
8;C LM;NOLAN;3033.5;14.461;0.782;1.403;6.947;4;2;0.982
8;C LM;NOLAN;3034;13.609;0.859;0.948;7.059;4.305;2;0.973
8;C LM;NOLAN;3034.5;13.25;0.908;-0.063;7.534;4.555;2;0.964
8;C LM;NOLAN;3035;19.219;0.909;0.336;7.476;4.731;2;0.955
8;C LM;NOLAN;3035.5;19.641;0.888;0.842;7.41;3.815;2;0.946
5;C LM;NOLAN;3036;24.266;0.862;1.437;6.864;3.117;2;0.938
5;C LM;NOLAN;3036.5;26.141;0.818;1.16;7.727;2.75;2;0.929
5;C LM;NOLAN;3037;29.594;0.773;2.348;8.687;2.957;2;0.92
5;C LM;NOLAN;3037.5;32.938;0.734;3.005;10.374;3.078;2;0.911
5;C LM;NOLAN;3038;36.844;0.697;3.034;12.005;3.283;2;0.902
5;C LM;NOLAN;3038.5;44.188;0.667;2.897;12.435;3.172;2;0.893
5;C LM;NOLAN;3039;50.625;0.661;3.849;12.703;3.031;2;0.884
4;C LM;NOLAN;3039.5;57;0.672;5.339;12.825;2.932;2;0.875
4;C LM;NOLAN;3040;57.469;0.69;5.764;13.132;2.943;2;0.866
4;C LM;NOLAN;3040.5;48.531;0.709;5.243;12.384;3.182;2;0.857
5;C LM;NOLAN;3041;40.469;0.728;3.199;10.228;3.137;2;0.848
6;C LM;NOLAN;3041.5;32.813;0.752;1.314;8.11;3.356;2;0.839
5;C LM;NOLAN;3042;38.563;0.79;0.809;6.809;3.557;2;0.83
5;C LM;NOLAN;3042.5;46.906;0.844;1.924;7.696;3.481;2;0.821
5;C LM;NOLAN;3043;54.594;0.896;2.275;8.614;3.354;2;0.813
5;C LM;NOLAN;3043.5;51.219;0.931;1.239;8.38;3.443;2;0.804
5;C LM;NOLAN;3044;40.688;0.94;-0.242;6.443;3.871;2;0.795
5;C LM;NOLAN;3044.5;34.406;0.939;-0.591;5.181;4.105;2;0.786
5;C LM;NOLAN;3045;31.297;0.95;-0.182;4.333;4.109;2;0.777
5;C LM;NOLAN;3045.5;36.469;0.967;0.169;4.567;4.125;2;0.768
5;C LM;NOLAN;3046;38.906;0.972;0.217;4.959;4.098;2;0.759
5;C LM;NOLAN;3046.5;41.906;0.969;0.117;5.889;3.783;2;0.75
5;C LM;NOLAN;3047;38.719;0.957;0.069;6.181;3.594;2;0.741
5;C LM;NOLAN;3047.5;38.125;0.938;0.288;6.744;3.57;2;0.732
5;C LM;NOLAN;3048;41.969;0.915;0.516;6.516;3.65;2;0.723
5;C LM;NOLAN;3048.5;45.031;0.89;1.186;6.04;3.955;2;0.714
5;C LM;NOLAN;3049;47.125;0.864;2.279;5.191;4.242;2;0.705
5;C LM;NOLAN;3049.5;57.75;0.838;1.948;7.036;4.402;2;0.696
4;C LM;NOLAN;3050;68.375;0.82;2.926;9.037;4.383;2;0.688
6;C LM;NOLAN;3050.5;77.313;0.814;3.614;10.644;4.172;2;0.679
6;C LM;NOLAN;3051;66.313;0.815;4.063;10.976;4.207;2;0.67
8;C LM;NOLAN;3051.5;61.406;0.811;3.186;9.753;4.066;2;0.661
8;C LM;NOLAN;3052;62.438;0.808;2.053;8.738;4.172;2;0.652
8;C LM;NOLAN;3052.5;80.875;0.806;1.712;7.712;3.951;2;0.643
8;C LM;NOLAN;3053;96.5;0.817;1.956;7.272;3.963;2;0.634
8;C LM;NOLAN;3053.5;120.188;0.839;2.635;7.033;3.877;2;0.625
8;C LM;NOLAN;3054;165.625;0.868;3.205;7.147;4.148;2;0.616
4;C LM;NOLAN;3054.5;219.375;0.89;3.504;8.019;4.023;2;0.607
4;C LM;NOLAN;3055;247.5;0.909;3.195;8.622;3.885;2;0.598
4;C LM;NOLAN;3055.5;216.75;0.92;2.845;8.728;3.818;2;0.589
4;C LM;NOLAN;3056;166.625;0.927;2.713;8.029;4.027;2;0.58
4;C LM;NOLAN;3056.5;119.063;0.933;2.689;8.005;4.422;2;0.571
4;C LM;NOLAN;3057;96.563;0.939;2.528;7.726;4.469;2;0.563
4;C LM;NOLAN;3057.5;78.188;0.939;2.023;8.134;4.371;2;0.554
4;C LM;NOLAN;3058;78.188;0.938;2.249;8.249;4.062;2;0.545
4;C LM;NOLAN;3058.5;70.75;0.936;2.249;8.249;4.062;2;0.536
4;C LM;NOLAN;3059;61.5;0.932;2.12;8.231;4.137;2;0.527
4;C LM;NOLAN;3059.5;56.813;0.926;1.909;8.248;4.105;2;0.518
4;C LM;NOLAN;3060;52.281;0.921;1.109;8.022;3.965;2;0.509
4;C LM;NOLAN;3060.5;48.438;0.913;1.534;8.329;3.674;2;0.5
3;A1 SH;NEWBY;2826;76.34;0.719;7.8;11;3.7;1;1
3;A1 SH;NEWBY;2826.5;83.74;0.688;9.7;12.55;3.4;1;0.977
3;A1 SH;NEWBY;2827;83.19;0.664;10.1;11.95;3.4;1;0.953
3;A1 SH;NEWBY;2827.5;80.44;0.648;10.1;11.15;3.4;1;0.93
3;A1 SH;NEWBY;2828;75.42;0.648;9.3;11.45;3.3;1;0.907
3;A1 SH;NEWBY;2828.5;71.5;0.663;9.2;11.6;3.3;1;0.884
3;A1 SH;NEWBY;2829;69.63;0.685;8.7;11.35;3.3;1;0.86
3;A1 SH;NEWBY;2829.5;70.01;0.705;8.6;11.1;3.4;1;0.837
3;A1 SH;NEWBY;2830;67.56;0.717;8.6;10.8;3.4;1;0.814
3;A1 SH;NEWBY;2830.5;67.33;0.719;7.3;10.75;3.4;1;0.791
3;A1 SH;NEWBY;2831;64.77;0.718;6.3;10.45;3.3;1;0.767
3;A1 SH;NEWBY;2831.5;64.8;0.715;5.7;10.05;3.4;1;0.744
2;A1 SH;NEWBY;2832;66.25;0.716;4.9;10.45;3.5;1;0.721
2;A1 SH;NEWBY;2832.5;66.55;0.719;6.4;10.4;3.5;1;0.698
2;A1 SH;NEWBY;2833;66.13;0.723;7.9;9.85;3.5;1;0.674
2;A1 SH;NEWBY;2833.5;65.54;0.723;8.1;8.65;3.5;1;0.651
2;A1 SH;NEWBY;2834;63.07;0.721;5.5;7.75;3.5;1;0.628
2;A1 SH;NEWBY;2834.5;59.71;0.72;3.7;7.05;3.4;1;0.605
2;A1 SH;NEWBY;2835;57.86;0.721;2.2;7.1;3.3;1;0.581
2;A1 SH;NEWBY;2835.5;54.8;0.723;1;7.4;3.3;1;0.558
2;A1 SH;NEWBY;2836;51.8;0.722;0.6;7.5;3.3;1;0.535
2;A1 SH;NEWBY;2836.5;52.62;0.717;1.3;7.45;3.3;1;0.512
2;A1 SH;NEWBY;2837;53.66;0.706;1.5;7.85;3.4;1;0.488
2;A1 SH;NEWBY;2837.5;55.79;0.688;2.1;8.25;3.3;1;0.465
2;A1 SH;NEWBY;2838;58.54;0.666;2.1;8.85;3.2;1;0.442
2;A1 SH;NEWBY;2838.5;60.95;0.639;2.1;9.65;3.3;1;0.419
2;A1 SH;NEWBY;2839;66.56;0.613;3.7;10.65;3.3;1;0.395
2;A1 SH;NEWBY;2839.5;70.88;0.589;5.6;11.4;3.2;1;0.372
2;A1 SH;NEWBY;2840;71.57;0.571;6.3;12.45;3.1;1;0.349
3;A1 SH;NEWBY;2840.5;72.53;0.555;6.3;13.45;3.2;1;0.326
3;A1 SH;NEWBY;2841;67.99;0.542;6.1;14.35;3.1;1;0.302
2;A1 SH;NEWBY;2841.5;60.31;0.525;5;14.1;3.2;1;0.279
2;A1 SH;NEWBY;2842;55.52;0.504;6.3;11.55;3.2;1;0.256
2;A1 SH;NEWBY;2842.5;56.07;0.486;5;11;3.2;1;0.233
2;A1 SH;NEWBY;2843;62.67;0.473;-2.6;15.8;3.2;1;0.209
2;A1 SH;NEWBY;2843.5;66.9;0.471;-2.2;21.4;3.2;1;0.186
2;A1 SH;NEWBY;2844;68.54;0.477;3.1;24.25;3.2;1;0.163
2;A1 SH;NEWBY;2844.5;68.7;0.483;3.3;22.85;3.2;1;0.14
5;A1 SH;NEWBY;2845;63.2;0.489;9.5;17.25;3.4;2;0.116
5;A1 SH;NEWBY;2845.5;60.33;0.493;11.6;15.6;3.7;2;0.093
5;A1 SH;NEWBY;2846;58.16;0.491;12.7;14.35;3.8;2;0.07
5;A1 SH;NEWBY;2846.5;52.61;0.481;9.9;11.45;3.9;2;0.047
3;A1 SH;NEWBY;2847;45.72;0.464;5.2;8.8;3.9;1;0.023
6;A1 LM;NEWBY;2847.5;35.92;0.441;4.5;7.95;4;2;1
6;A1 LM;NEWBY;2848;26.62;0.422;3.6;10.7;4.3;2;0.988
7;A1 LM;NEWBY;2848.5;24.14;0.398;5.9;12.55;4;2;0.976
7;A1 LM;NEWBY;2849;24.36;0.375;6.5;12.95;3.9;2;0.963
7;A1 LM;NEWBY;2849.5;23.28;0.35;6.5;11.85;4.1;2;0.951
7;A1 LM;NEWBY;2850;25.7;0.334;7.7;10.95;4.1;2;0.939
7;A1 LM;NEWBY;2850.5;28.2;0.336;8.2;11.2;3.7;2;0.927
7;A1 LM;NEWBY;2851;28.35;0.352;8.8;12.1;3.7;2;0.915
7;A1 LM;NEWBY;2851.5;31.71;0.377;9;12.8;3.6;2;0.902
7;A1 LM;NEWBY;2852;35.52;0.405;9.1;12.75;3.3;2;0.89
7;A1 LM;NEWBY;2852.5;39.11;0.431;9.3;12.55;3.2;2;0.878
5;A1 LM;NEWBY;2853;44.57;0.458;10.4;12.4;3.2;2;0.866
5;A1 LM;NEWBY;2853.5;54.42;0.49;11.1;12.35;3.1;2;0.854
5;A1 LM;NEWBY;2854;61.72;0.53;10.9;13.15;3.1;2;0.841
5;A1 LM;NEWBY;2854.5;66.81;0.577;11.9;13.55;3.1;2;0.829
4;A1 LM;NEWBY;2855;74.17;0.628;11.8;13.5;3.2;2;0.817
4;A1 LM;NEWBY;2855.5;82.18;0.679;9.2;12.5;3.5;2;0.805
4;A1 LM;NEWBY;2856;85.67;0.725;5.8;9.4;3.6;2;0.793
4;A1 LM;NEWBY;2856.5;87.06;0.761;1.6;6.3;3.8;2;0.78
4;A1 LM;NEWBY;2857;84.2;0.792;-1.2;4.6;3.8;2;0.768
8;A1 LM;NEWBY;2857.5;83.45;0.823;-1.9;4.35;3.9;2;0.756
8;A1 LM;NEWBY;2858;90.42;0.86;-1.3;5.75;3.9;2;0.744
6;A1 LM;NEWBY;2858.5;100.83;0.898;1.7;7.65;3.8;2;0.732
4;A1 LM;NEWBY;2859;108.34;0.93;4.9;9.65;3.9;2;0.72
4;A1 LM;NEWBY;2859.5;107.75;0.946;6.5;9.85;3.9;2;0.707
4;A1 LM;NEWBY;2860;92.63;0.945;5.3;8.55;3.8;2;0.695
4;A1 LM;NEWBY;2860.5;70.46;0.935;1.9;6.25;3.7;2;0.683
8;A1 LM;NEWBY;2861;55.67;0.924;-0.5;4.65;3.7;2;0.671
8;A1 LM;NEWBY;2861.5;49.35;0.919;-1.2;4.1;3.6;2;0.659
8;A1 LM;NEWBY;2862;46.82;0.918;-1;4.8;3.6;2;0.646
8;A1 LM;NEWBY;2862.5;48.11;0.91;-0.1;6.65;3.8;2;0.634
5;A1 LM;NEWBY;2863;51.66;0.886;1.5;8.65;3.7;2;0.622
5;A1 LM;NEWBY;2863.5;49.73;0.847;3.2;10.1;3.6;2;0.61
5;A1 LM;NEWBY;2864;51.46;0.801;4.1;11.25;3.6;2;0.598
4;A1 LM;NEWBY;2864.5;54.67;0.757;5;12.1;3.6;2;0.585
4;A1 LM;NEWBY;2865;56.96;0.721;5.2;12.4;3.6;2;0.573
4;A1 LM;NEWBY;2865.5;58.67;0.693;6.2;12.7;3.6;2;0.561
4;A1 LM;NEWBY;2866;61.19;0.675;6.6;12.9;3.6;2;0.549
4;A1 LM;NEWBY;2866.5;60.77;0.666;6.7;13.25;3.7;2;0.537
4;A1 LM;NEWBY;2867;60.99;0.661;6.2;13.5;3.7;2;0.524
4;A1 LM;NEWBY;2867.5;63.65;0.658;6.1;13.75;3.6;2;0.512
4;A1 LM;NEWBY;2868;66.98;0.654;6;13.8;3.5;2;0.5
4;A1 LM;NEWBY;2868.5;68.44;0.646;5.5;14.35;3.5;2;0.488
4;A1 LM;NEWBY;2869;71.39;0.638;5;14.8;3.4;2;0.476
4;A1 LM;NEWBY;2869.5;73.08;0.63;5.2;14.5;3.3;2;0.463
4;A1 LM;NEWBY;2870;71.86;0.624;4.9;14.75;3.3;2;0.451
4;A1 LM;NEWBY;2870.5;71.83;0.623;5.2;14.9;3.3;2;0.439
4;A1 LM;NEWBY;2871;70.27;0.624;5.8;15.1;3.3;2;0.427
4;A1 LM;NEWBY;2871.5;69.65;0.626;6.2;14.8;3.4;2;0.415
4;A1 LM;NEWBY;2872;66.78;0.631;5.7;14.15;3.5;2;0.402
4;A1 LM;NEWBY;2872.5;64.06;0.638;5.9;12.95;3.5;2;0.39
4;A1 LM;NEWBY;2873;60.24;0.651;5.1;11.65;3.5;2;0.378
4;A1 LM;NEWBY;2873.5;58.25;0.667;4.2;11.4;3.4;2;0.366
6;A1 LM;NEWBY;2874;56.79;0.687;3.5;10.95;3.4;2;0.354
6;A1 LM;NEWBY;2874.5;58;0.703;1.8;10.5;3.3;2;0.341
6;A1 LM;NEWBY;2875;60.75;0.71;0.8;10.6;3.3;2;0.329
4;A1 LM;NEWBY;2875.5;64.48;0.707;2.5;10.45;3.4;2;0.317
4;A1 LM;NEWBY;2876;65.37;0.693;4.1;10.25;3.5;2;0.305
4;A1 LM;NEWBY;2876.5;65.84;0.672;3.2;10.8;3.4;2;0.293
4;A1 LM;NEWBY;2877;67.38;0.65;2.7;11.45;3.3;2;0.28
4;A1 LM;NEWBY;2877.5;67.07;0.626;3;12;3.2;2;0.268
4;A1 LM;NEWBY;2878;65.28;0.603;3.6;12.8;3;2;0.256
4;A1 LM;NEWBY;2878.5;65.26;0.58;3.3;13.75;2.9;2;0.244
4;A1 LM;NEWBY;2879;63.4;0.559;3.1;13.85;2.9;2;0.232
4;A1 LM;NEWBY;2879.5;64.1;0.544;3;13.9;2.8;2;0.22
4;A1 LM;NEWBY;2880;66.77;0.542;2.7;14.45;2.8;2;0.207
4;A1 LM;NEWBY;2880.5;69.72;0.554;3.2;14.8;2.9;2;0.195
4;A1 LM;NEWBY;2881;71;0.58;4.4;15.2;3.1;2;0.183
4;A1 LM;NEWBY;2881.5;69.77;0.617;5.9;14.65;3.3;2;0.171
4;A1 LM;NEWBY;2882;64.39;0.665;5.5;12.45;3.6;2;0.159
4;A1 LM;NEWBY;2882.5;60.94;0.721;4.9;9.45;4;2;0.146
4;A1 LM;NEWBY;2883;56.89;0.785;3.4;7.1;4.3;2;0.134
6;A1 LM;NEWBY;2883.5;54.2;0.856;2.7;5.45;4.5;2;0.122
6;A1 LM;NEWBY;2884;53.14;0.923;1.3;4.35;4.5;2;0.11
6;A1 LM;NEWBY;2884.5;52.7;0.961;0.9;3.45;4.3;2;0.098
6;A1 LM;NEWBY;2885;51.93;0.946;0.7;3.65;4.1;2;0.085
8;A1 LM;NEWBY;2885.5;56.1;0.887;1.1;4.55;4;2;0.073
8;A1 LM;NEWBY;2886;61.49;0.805;2.5;5.95;3.7;2;0.061
5;A1 LM;NEWBY;2886.5;68.77;0.725;3.8;8.1;3.4;2;0.049
5;A1 LM;NEWBY;2887;78.57;0.658;-0.6;14.2;3.2;2;0.037
5;A1 LM;NEWBY;2887.5;85.47;0.61;-2.5;21.35;3;2;0.024
5;A1 LM;NEWBY;2888;88.63;0.583;-0.6;28.2;3;2;0.012
2;B1 SH;NEWBY;2888.5;88.97;0.569;-0.1;31.65;2.9;1;1
3;B1 SH;NEWBY;2889;84.66;0.567;0.2;30.2;3.1;1;0.968
3;B1 SH;NEWBY;2889.5;76.48;0.574;0.8;24.4;3.4;1;0.935
3;B1 SH;NEWBY;2890;69.35;0.595;-0.7;18.45;3.5;1;0.903
3;B1 SH;NEWBY;2890.5;63.07;0.63;7.7;10.55;3.9;1;0.871
3;B1 SH;NEWBY;2891;59.01;0.675;7.8;9.3;4;1;0.839
3;B1 SH;NEWBY;2891.5;59.94;0.719;8.8;8;4.1;1;0.806
3;B1 SH;NEWBY;2892;61.89;0.75;6.5;9.45;4;1;0.774
3;B1 SH;NEWBY;2892.5;63.84;0.763;6;10.1;3.8;1;0.742
3;B1 SH;NEWBY;2893;65.13;0.76;6.8;10.7;3.8;1;0.71
3;B1 SH;NEWBY;2893.5;65.86;0.745;6.8;11.2;3.7;1;0.677
3;B1 SH;NEWBY;2894;64.98;0.728;7.3;11.25;3.7;1;0.645
3;B1 SH;NEWBY;2894.5;63.13;0.713;6.7;11.25;3.6;1;0.613
3;B1 SH;NEWBY;2895;61.3;0.702;6.7;10.65;3.6;1;0.581
3;B1 SH;NEWBY;2895.5;59.07;0.695;6.6;10.5;3.5;1;0.548
3;B1 SH;NEWBY;2896;54.86;0.691;4.8;9.9;3.4;1;0.516
3;B1 SH;NEWBY;2896.5;52.06;0.688;3.1;9.45;3.2;1;0.484
2;B1 SH;NEWBY;2897;50.25;0.682;1.9;8.85;3.1;1;0.452
2;B1 SH;NEWBY;2897.5;49.94;0.671;1;8.6;3.1;1;0.419
2;B1 SH;NEWBY;2898;49.52;0.656;0.5;8.45;3.2;1;0.387
2;B1 SH;NEWBY;2898.5;50.38;0.644;0.9;8.35;3.3;1;0.355
2;B1 SH;NEWBY;2899;51.74;0.633;1.7;8.85;3.3;1;0.323
2;B1 SH;NEWBY;2899.5;54.38;0.623;3.3;9.95;3.4;1;0.29
2;B1 SH;NEWBY;2900;57.35;0.613;5.7;10.75;3.3;1;0.258
2;B1 SH;NEWBY;2900.5;60.11;0.6;7.2;11;3.3;1;0.226
2;B1 SH;NEWBY;2901;60.58;0.589;8.6;11.4;3.2;1;0.194
2;B1 SH;NEWBY;2901.5;62.39;0.59;8.2;12.6;3.1;1;0.161
2;B1 SH;NEWBY;2902;64.39;0.605;3.8;15.3;3;1;0.129
2;B1 SH;NEWBY;2902.5;63.97;0.632;0.4;19.4;3.1;1;0.097
2;B1 SH;NEWBY;2903;58.9;0.664;1.6;20.6;3.4;1;0.065
2;B1 SH;NEWBY;2903.5;49.15;0.69;-3.2;18.6;3.7;1;0.032
3;B1 SH;NEWBY;2904;37.28;0.713;-3.7;13.05;4;1;0.01
8;B1 LM;NEWBY;2904.5;37.28;0.713;-3.7;13.05;4;2;1
8;B1 LM;NEWBY;2905;24.56;0.743;-1.9;9.55;4.5;2;0.974
8;B1 LM;NEWBY;2905.5;18.18;0.785;-0.5;8.55;4.6;2;0.947
8;B1 LM;NEWBY;2906;15.89;0.841;1.5;8.05;4.6;2;0.921
8;B1 LM;NEWBY;2906.5;15.67;0.898;2.2;7.6;4.6;2;0.895
8;B1 LM;NEWBY;2907;15.77;0.932;1;7.1;4.5;2;0.868
8;B1 LM;NEWBY;2907.5;14.62;0.928;-0.1;6.35;4.5;2;0.842
8;B1 LM;NEWBY;2908;13.92;0.886;-0.3;5.85;4.6;2;0.816
8;B1 LM;NEWBY;2908.5;14;0.823;-0.2;6;4.4;2;0.789
8;B1 LM;NEWBY;2909;15.63;0.759;0.1;7.05;4.1;2;0.763
8;B1 LM;NEWBY;2909.5;18.49;0.708;0.8;9.2;3.9;2;0.737
7;B1 LM;NEWBY;2910;23.27;0.664;3.3;10.25;3.8;2;0.711
7;B1 LM;NEWBY;2910.5;29.04;0.627;5.5;10.85;3.6;2;0.684
7;B1 LM;NEWBY;2911;33.5;0.597;6;9.9;3.6;2;0.658
7;B1 LM;NEWBY;2911.5;35.92;0.575;7.3;8.65;3.7;2;0.632
7;B1 LM;NEWBY;2912;37.3;0.572;7.4;8;3.8;2;0.605
7;B1 LM;NEWBY;2912.5;37.93;0.587;5;8.9;3.9;2;0.579
7;B1 LM;NEWBY;2913;37.01;0.622;2.6;9.1;4;2;0.553
5;B1 LM;NEWBY;2913.5;34.72;0.671;0.6;8.8;4.2;2;0.526
5;B1 LM;NEWBY;2914;33.39;0.723;-1.2;7.9;4.3;2;0.5
6;B1 LM;NEWBY;2914.5;32.48;0.769;-1.6;6.8;4.4;2;0.474
6;B1 LM;NEWBY;2915;30.69;0.806;-1.6;6.2;4.8;2;0.447
6;B1 LM;NEWBY;2915.5;30.51;0.833;-0.5;5.45;4.8;2;0.421
8;B1 LM;NEWBY;2916;29.42;0.846;0.3;4.95;4.7;2;0.395
8;B1 LM;NEWBY;2916.5;30.47;0.842;-0.8;5.3;4.7;2;0.368
6;B1 LM;NEWBY;2917;32.09;0.822;-1.4;6.4;4.7;2;0.342
6;B1 LM;NEWBY;2917.5;32.14;0.79;-2.3;8.15;4.6;2;0.316
8;B1 LM;NEWBY;2918;32.99;0.757;-4.5;10.25;4.5;2;0.289
8;B1 LM;NEWBY;2918.5;31.58;0.727;-6.9;11.95;4.5;2;0.263
8;B1 LM;NEWBY;2919;29.07;0.706;-7.3;12.75;4.4;2;0.237
8;B1 LM;NEWBY;2919.5;29.97;0.693;-6.7;12.95;4.3;2;0.211
8;B1 LM;NEWBY;2920;37.44;0.688;-5.5;12.25;4.3;2;0.184
8;B1 LM;NEWBY;2920.5;52.59;0.687;-4.1;10.65;4.3;2;0.158
6;B1 LM;NEWBY;2921;68.18;0.684;-2.3;8.35;4.1;2;0.132
6;B1 LM;NEWBY;2921.5;80.25;0.674;-0.6;7.3;3.9;2;0.105
8;B1 LM;NEWBY;2922;86.51;0.65;1.8;7.9;3.7;2;0.079
8;B1 LM;NEWBY;2922.5;86.09;0.616;5.2;8.9;3.4;2;0.053
4;B1 LM;NEWBY;2923;86.09;0.616;5.2;8.9;3.4;2;0.053
4;B1 LM;NEWBY;2923.5;83.41;0.579;2.3;14.45;3.2;2;0.026
3;B2 SH;NEWBY;2924;84.51;0.545;1.3;19.65;3.2;1;1
3;B2 SH;NEWBY;2924.5;85.03;0.521;4.3;25.15;3.1;1;0.889
3;B2 SH;NEWBY;2925;87.36;0.5;7.2;28.7;3.1;1;0.778
2;B2 SH;NEWBY;2925.5;85.73;0.481;9.3;28.35;3.2;1;0.667
2;B2 SH;NEWBY;2926;80.2;0.465;7;24.5;3.1;1;0.556
2;B2 SH;NEWBY;2926.5;76.12;0.456;3.5;19.35;3.1;1;0.444
2;B2 SH;NEWBY;2927;74.5;0.467;10.2;14.1;3.5;1;0.333
2;B2 SH;NEWBY;2927.5;73.97;0.498;5.9;16.85;3.5;1;0.222
3;B2 SH;NEWBY;2928;71.24;0.545;5.1;20.15;3.6;1;0.111
3;B2 SH;NEWBY;2928.5;66.7;0.605;6.7;21.15;3.9;1;0.01
6;B2 LM;NEWBY;2929;66.7;0.605;6.7;21.15;3.9;2;1
6;B2 LM;NEWBY;2929.5;59.42;0.663;3.1;18.05;4.2;2;0.963
6;B2 LM;NEWBY;2930;49;0.713;-0.2;13.7;4.3;2;0.926
6;B2 LM;NEWBY;2930.5;39.46;0.76;-0.9;10.25;4.6;2;0.889
9;B2 LM;NEWBY;2931;32.31;0.816;-4.2;10.3;4.7;2;0.852
9;B2 LM;NEWBY;2931.5;26.09;0.886;-8.5;11.75;4.7;2;0.815
9;B2 LM;NEWBY;2932;22.37;0.96;-10.4;12.2;4.7;2;0.778
9;B2 LM;NEWBY;2932.5;19.97;1.01;-11.4;11.7;4.7;2;0.741
9;B2 LM;NEWBY;2933;18.36;1.013;-11.1;10.25;4.9;2;0.704
9;B2 LM;NEWBY;2933.5;16.5;0.964;-8.2;7.7;5;2;0.667
9;B2 LM;NEWBY;2934;14.84;0.88;-5;5.7;5;2;0.63
9;B2 LM;NEWBY;2934.5;15.72;0.786;-5.6;6.4;5;2;0.593
8;B2 LM;NEWBY;2935;17.86;0.7;-6.3;8.45;4.9;2;0.556
8;B2 LM;NEWBY;2935.5;19.9;0.623;-7.7;11.45;4.7;2;0.519
8;B2 LM;NEWBY;2936;22.42;0.561;-9.5;14.45;4.6;2;0.481
8;B2 LM;NEWBY;2936.5;22.62;0.517;-10.2;16.1;4.5;2;0.444
8;B2 LM;NEWBY;2937;20.93;0.489;-9.8;16.2;4.4;2;0.407
